name	run	timing
benchmark/large/tpch-sf100/q01.benchmark	1	1.989747
benchmark/large/tpch-sf100/q01.benchmark	2	1.983002
benchmark/large/tpch-sf100/q01.benchmark	3	1.987741
benchmark/large/tpch-sf100/q01.benchmark	4	2.005772
benchmark/large/tpch-sf100/q01.benchmark	5	1.984301
benchmark/large/tpch-sf100/q02.benchmark	1	0.427788
benchmark/large/tpch-sf100/q02.benchmark	2	0.422782
benchmark/large/tpch-sf100/q02.benchmark	3	0.417886
benchmark/large/tpch-sf100/q02.benchmark	4	0.352429
benchmark/large/tpch-sf100/q02.benchmark	5	0.359972
benchmark/large/tpch-sf100/q03.benchmark	1	1.673568
benchmark/large/tpch-sf100/q03.benchmark	2	1.679734
benchmark/large/tpch-sf100/q03.benchmark	3	1.688270
benchmark/large/tpch-sf100/q03.benchmark	4	1.718003
benchmark/large/tpch-sf100/q03.benchmark	5	1.724841
benchmark/large/tpch-sf100/q04.benchmark	1	2.524616
benchmark/large/tpch-sf100/q04.benchmark	2	2.425535
benchmark/large/tpch-sf100/q04.benchmark	3	2.478256
benchmark/large/tpch-sf100/q04.benchmark	4	2.460218
benchmark/large/tpch-sf100/q04.benchmark	5	2.298942
benchmark/large/tpch-sf100/q05.benchmark	1	2.012777
benchmark/large/tpch-sf100/q05.benchmark	2	2.001587
benchmark/large/tpch-sf100/q05.benchmark	3	1.992161
benchmark/large/tpch-sf100/q05.benchmark	4	2.107129
benchmark/large/tpch-sf100/q05.benchmark	5	2.116623
benchmark/large/tpch-sf100/q06.benchmark	1	0.507914
benchmark/large/tpch-sf100/q06.benchmark	2	0.506984
benchmark/large/tpch-sf100/q06.benchmark	3	0.507902
benchmark/large/tpch-sf100/q06.benchmark	4	0.510242
benchmark/large/tpch-sf100/q06.benchmark	5	0.510564
benchmark/large/tpch-sf100/q07.benchmark	1	1.630676
benchmark/large/tpch-sf100/q07.benchmark	2	1.630561
benchmark/large/tpch-sf100/q07.benchmark	3	1.626148
benchmark/large/tpch-sf100/q07.benchmark	4	1.632052
