name	run	timing
benchmark/large/tpch-sf100/q01.benchmark	1	1.992019
benchmark/large/tpch-sf100/q01.benchmark	2	1.974832
benchmark/large/tpch-sf100/q01.benchmark	3	1.977956
benchmark/large/tpch-sf100/q01.benchmark	4	1.991646
benchmark/large/tpch-sf100/q01.benchmark	5	1.982355
benchmark/large/tpch-sf100/q02.benchmark	1	0.452045
benchmark/large/tpch-sf100/q02.benchmark	2	0.385703
benchmark/large/tpch-sf100/q02.benchmark	3	0.429919
benchmark/large/tpch-sf100/q02.benchmark	4	0.357686
benchmark/large/tpch-sf100/q02.benchmark	5	0.364192
benchmark/large/tpch-sf100/q03.benchmark	1	1.712219
benchmark/large/tpch-sf100/q03.benchmark	2	1.801577
benchmark/large/tpch-sf100/q03.benchmark	3	1.720389
benchmark/large/tpch-sf100/q03.benchmark	4	1.720474
benchmark/large/tpch-sf100/q03.benchmark	5	1.949381
benchmark/large/tpch-sf100/q04.benchmark	1	2.441352
benchmark/large/tpch-sf100/q04.benchmark	2	2.255100
benchmark/large/tpch-sf100/q04.benchmark	3	2.251029
benchmark/large/tpch-sf100/q04.benchmark	4	2.414909
benchmark/large/tpch-sf100/q04.benchmark	5	2.241912
benchmark/large/tpch-sf100/q05.benchmark	1	2.046641
benchmark/large/tpch-sf100/q05.benchmark	2	2.137489
benchmark/large/tpch-sf100/q05.benchmark	3	2.184113
benchmark/large/tpch-sf100/q05.benchmark	4	2.212243
benchmark/large/tpch-sf100/q05.benchmark	5	2.222001
benchmark/large/tpch-sf100/q06.benchmark	1	0.485581
benchmark/large/tpch-sf100/q06.benchmark	2	0.484414
benchmark/large/tpch-sf100/q06.benchmark	3	0.485703
benchmark/large/tpch-sf100/q06.benchmark	4	0.485936
benchmark/large/tpch-sf100/q06.benchmark	5	0.493982
benchmark/large/tpch-sf100/q07.benchmark	1	1.703687
benchmark/large/tpch-sf100/q07.benchmark	2	1.666675
benchmark/large/tpch-sf100/q07.benchmark	3	1.660193
benchmark/large/tpch-sf100/q07.benchmark	4	1.660243
benchmark/large/tpch-sf100/q07.benchmark	5	1.689861
